time,x,y,z,vel,roll,pitch,yaw,terrainHeight,reward
18.18449,0,6026.429,0,45.32323,0,0,0,6000,-1
18.19998,0,6030,0,92.64696,0,0,0,6000,-1
18.21148,0,6026.425,0,109.1318,0,0,0,6000,-1
18.22223,0,6026.421,0,54.74758,0,0,0,6000,-1
18.23009,0,6030,0,200.0901,0,0,0,6000,-1
18.24028,0,6026.417,0,75.70003,0,0,0,6000,-1
18.25332,0,6030,0,99.50957,0,0,0,6000,-1
18.26187,0,6026.414,0,160.0594,0,0,0,6000,-1
18.27244,0,6030,0,89.71709,0,0,0,6000,-1
18.28307,0,6026.41,0,123.9401,0,0,0,6000,-1
18.29565,0,6030,0,80.75975,0,0,0,6000,-1
18.31912,0,6026.406,0,36.18572,0,0,0,6000,-1
18.33054,0,6026.402,0,18.26382,0,0,0,6000,-0.8263825
18.3414,0,6026.398,0,9.311869,0,0,0,6000,0.06881312
18.35406,0,6030,0,137.621,0,0,0,6000,-1
18.38382,0,6022.784,0,52.41389,0,0,0,6000,-1
18.39415,0,6030,0,323.0652,0,0,0,6000,-1
18.4035,0,6026.386,0,31.59154,0,0,0,6000,-1
18.41193,0,6030,0,198.6341,0,0,0,6000,-1
18.42054,0,6026.382,0,110.8206,0,0,0,6000,-1
18.42963,0,6030,0,143.5134,0,0,0,6000,-1
18.43905,0,6030,0,71.75668,0,0,0,6000,-1
18.44813,0,6026.378,0,163.5517,0,0,0,6000,-1
18.4658,0,6026.374,0,81.90017,0,0,0,6000,-1
18.47471,0,6030,0,162.5098,0,0,0,6000,-1
18.48304,0,6026.37,0,136.825,0,0,0,6000,-1
18.49285,0,6030,0,116.5866,0,0,0,6000,-1
18.50207,0,6026.366,0,138.8149,0,0,0,6000,-1
18.51307,0,6030,0,95.71913,0,0,0,6000,-1
18.52628,0,6026.362,0,89.81455,0,0,0,6000,-1
18.54262,0,6026.358,0,45.02679,0,0,0,6000,-1
18.55616,0,6030,0,111.9987,0,0,0,6000,-1
18.56645,0,6026.354,0,121.068,0,0,0,6000,-1
18.5767,0,6030,0,117.3391,0,0,0,6000,-1
18.58572,0,6026.351,0,143.6804,0,0,0,6000,-1
18.59511,0,6030,0,122.3712,0,0,0,6000,-1
18.60373,0,6026.347,0,150.6514,0,0,0,6000,-1
18.62337,0,6026.343,0,75.42517,0,0,0,6000,-1
18.63145,0,6030,0,188.5157,0,0,0,6000,-1
18.63968,0,6030,0,94.25787,0,0,0,6000,-1
18.64878,0,6026.339,0,154.1916,0,0,0,6000,-1
18.65697,0,6030,0,146.2177,0,0,0,6000,-1
18.66488,0,6026.335,0,158.7567,0,0,0,6000,-1
18.67412,0,6030,0,118.7998,0,0,0,6000,-1
18.68209,0,6026.331,0,170.8892,0,0,0,6000,-1
18.69021,0,6030,0,140.4537,0,0,0,6000,-1
18.69831,0,6030,0,70.22684,0,0,0,6000,-1
18.70618,0,6026.327,0,198.3863,0,0,0,6000,-1
18.71391,0,6030,0,138.2424,0,0,0,6000,-1
18.72231,0,6026.323,0,149.7486,0,0,0,6000,-1
18.7301,0,6030,0,161.0511,0,0,0,6000,-1
18.73897,0,6030,0,80.52554,0,0,0,6000,-1
18.74636,0,6026.319,0,208.683,0,0,0,6000,-1
18.7554,0,6030,0,99.37973,0,0,0,6000,-1
18.77251,0,6026.315,0,57.95613,0,0,0,6000,-1
18.78261,0,6026.312,0,29.17137,0,0,0,6000,-1
18.7923,0,6030,0,175.9315,0,0,0,6000,-1
18.8006,0,6026.308,0,134.4166,0,0,0,6000,-1
18.81064,0,6030,0,116.532,0,0,0,6000,-1
18.82136,0,6026.304,0,114.2744,0,0,0,6000,-1
18.8315,0,6030,0,125.0582,0,0,0,6000,-1
18.84001,0,6026.3,0,154.8694,0,0,0,6000,-1
18.84911,0,6030,0,125.9733,0,0,0,6000,-1
18.86043,0,6026.296,0,100.5011,0,0,0,6000,-1
18.87148,0,6030,0,117.3969,0,0,0,6000,-1
18.88412,0,6026.292,0,87.98004,0,0,0,6000,-1
18.89546,0,6030,0,119.4496,0,0,0,6000,-1
18.90503,0,6026.288,0,134.3284,0,0,0,6000,-1
18.91643,0,6030,0,95.64196,0,0,0,6000,-1
18.93478,0,6026.284,0,53.42409,0,0,0,6000,-1
18.94439,0,6026.28,0,26.91527,0,0,0,6000,-1
18.95535,0,6030,0,156.2862,0,0,0,6000,-1
18.96343,0,6026.276,0,152.2085,0,0,0,6000,-1
18.97164,0,6030,0,150.5307,0,0,0,6000,-1
18.98145,0,6026.272,0,114.7925,0,0,0,6000,-1
18.9926,0,6030,0,109.7385,0,0,0,6000,-1
19.00796,0,6026.268,0,66.60472,0,0,0,6000,-1
19.01981,0,6030,0,124.1655,0,0,0,6000,-1
19.03047,0,6026.264,0,113.2395,0,0,0,6000,-1
19.04117,0,6026.26,0,56.80229,0,0,0,6000,-1
19.04998,0,6030,0,183.6807,0,0,0,6000,-1
19.05869,0,6030,0,91.84035,0,0,0,6000,-1
19.06713,0,6026.256,0,176.0685,0,0,0,6000,-1
19.08339,0,6026.252,0,88.15433,0,0,0,6000,-1
19.09394,0,6030,0,133.5869,0,0,0,6000,-1
19.10181,0,6026.249,0,171.3305,0,0,0,6000,-1
19.1095,0,6030,0,158.5416,0,0,0,6000,-1
19.11915,0,6030,0,79.27078,0,0,0,6000,-1
19.12832,0,6026.245,0,165.1443,0,0,0,6000,-1
19.1387,0,6030,0,98.33694,0,0,0,6000,-1
19.14777,0,6026.241,0,157.8972,0,0,0,6000,-1
19.15972,0,6030,0,78.39495,0,0,0,6000,-1
19.17126,0,6026.237,0,123.802,0,0,0,6000,-1
19.18363,0,6026.233,0,62.05896,0,0,0,6000,-1
